"H",12,20230103132154,batch3
"U",2023-01-03 13:32:34.000,2,"Panchito","Scirman","pscirman1@kickstarter.com","Male","Manager",38000.00
"D",2023-01-03 13:32:34.000,5,"Sara","Blessed","swhiterod4@hhs.gov","Female","Assistant Manager",47850.00
"I",2023-01-03 13:32:34.000,6,"Mariska","Antrum","mantrum5@nytimes.com","Female","Tax Accountant",16370.00
"D",2023-01-03 13:32:34.000,11,Giralda,Baglan,gbaglan0@stanford.edu,Female,Computer Systems Analyst IV,72080.00
"D",2023-01-03 13:32:34.000,12,Ceil,Hulstrom,chulstrom1@ucla.edu,Female,VP Sales,86380.00
"U",2023-01-03 13:32:34.000,13,Willabella,Eliff,weliff2@tinypic.com,Female,Dog Walker,800.00
"U",2023-01-03 13:32:34.000,14,Martin,Mil,nmil3@goo.ne.jp,Male,GIS Technical Architect,45900.00
"U",2023-01-03 13:32:34.000,15,Rutherford,Mason,rshergill4@1und1.de,Male,General Manager,68050.00
"I",2023-01-03 13:32:34.000,17,Kele,Wessel,kwessel6@yolasite.com,Male,Clinical Specialist,41590.00
"I",2023-01-03 13:32:34.000,18,Seka,McDool,smcdool7@technorati.com,Female,Financial Advisor,2800.00
"I",2023-01-03 13:32:34.000,19,My,Lethieulier,mlethieulier8@google.com.br,Male,Help Desk Operator,12880.00
"I",2023-01-03 13:32:34.000,20,Thaine,Bleackly,tbleackly9@canalblog.com,Male,Structural Engineer,68380.00
"F",customer_details,20230103133443
