"H",10,20230102132154,batch2
"U",2023-01-02 14:32:34.000,24,Carola,Munnis,cmunnisn@elpais.com,Female,Manager,37653.81
"D",2023-01-02 14:32:34.000,25,Jason,Guerra,jguerrao@goo.ne.jp,Male,Clinical Specialist,43701.77
"D",2023-01-02 14:32:34.000,26,Mar,Hatter,mhatterp@microsoft.com,Male,Director of Sales,94661.28
"I",2023-01-02 14:32:34.000,27,Ethelbert,Stanford,estanfordq@ucsd.edu,Male,Quality Engineer,93055.53
"I",2023-01-02 14:32:34.000,28,Sara,Taylder,staylderr@youtu.be,Female,Statistician IV,88317.89
"I",2023-01-02 14:32:34.000,29,Federico,Akitt,fakitts@yandex.ru,Male,Tax Accountant,79231.01
"I",2023-01-02 14:32:34.000,30,Drud,O'Regan,doregant@networkadvertising.org,Male,Structural Analysis Engineer,94377.02
"I",2023-01-02 14:32:34.000,31,Sherwin,Sybe,ssybeu@macromedia.com,Male,Cost Accountant,78355.46
"I",2023-01-02 14:32:34.000,32,Emogene,Maffucci,emaffucciv@nifty.com,Genderfluid,Geologist II,64243.42
"I",2023-01-02 14:32:34.000,33,Linn,Dyball,ldyballw@prnewswire.com,Non-binary,Automation Specialist II,55482.71
"F",customer_details,20230102133443
