"H",12,20230102132154,batch2
"U",2023-01-02 13:32:34.000,1,"Davidde","Legier","dlegier0@mail.ru","Male","Senior Editor",90500.00
"U",2023-01-02 13:32:34.000,2,"Panchito","Scirman","pscirman1@kickstarter.com","Male","Executive",40000.00
"D",2023-01-02 13:32:34.000,3,"Chic","Ickowics","cickowics2@booking.com","Male","Research Associate",35540.00
"D",2023-01-02 13:32:34.000,4,"Pascale","Jedrzaszkiewicz","pjedrzaszkiewicz3@auda.org.au","Male","Safety Technician IV",73210.00
"U",2023-01-02 13:32:34.000,5,"Sara","Blessed","swhiterod4@hhs.gov","Female","Assistant Manager",47850.00
"D",2023-01-02 13:32:34.000,6,"Mariska","Antrum","mantrum5@nytimes.com","Female","Tax Accountant",16370.00
"I",2023-01-02 13:32:34.000,11,Giralda,Baglan,gbaglan0@stanford.edu,Female,Computer Systems Analyst IV,72080.00
"I",2023-01-02 13:32:34.000,12,Ceil,Hulstrom,chulstrom1@ucla.edu,Female,VP Sales,86380.00
"I",2023-01-02 13:32:34.000,13,Willabella,Eliff,weliff2@tinypic.com,Female,Clinical Specialist,77600.00
"I",2023-01-02 13:32:34.000,14,Nerti,Mil,nmil3@goo.ne.jp,Female,GIS Technical Architect,45900.00
"I",2023-01-02 13:32:34.000,15,Rutherford,Shergill,rshergill4@1und1.de,Male,General Manager,68050.00
"I",2023-01-02 13:32:34.000,16,Alyssa,Mattschas,amattschas5@tinypic.com,Female,Automation Specialist II,55490.00
"F",customer_details,20230102133443
